grid_size,density,parallel,serial,speedup
20,0.05,233.0,15.0,0.06437768240343347
20,0.1,179.0,31.0,0.17318435754189945
20,0.2,129.0,44.0,0.34108527131782945
20,0.3,166.0,50.0,0.30120481927710846
20,0.5,165.0,83.0,0.503030303030303
20,0.6,140.0,90.0,0.6428571428571429
20,0.7,124.0,77.0,0.6209677419354839
20,0.8,110.0,129.0,1.1727272727272726
20,0.9,183.0,119.0,0.6502732240437158
50,0.05,162.0,164.0,1.0123456790123457
50,0.1,206.0,120.0,0.5825242718446602
50,0.2,149.0,229.0,1.5369127516778522
50,0.3,138.0,264.0,1.9130434782608696
50,0.5,158.0,300.0,1.8987341772151898
50,0.6,205.0,245.0,1.1951219512195121
50,0.7,174.0,443.0,2.545977011494253
50,0.8,200.0,412.0,2.06
50,0.9,214.0,254.0,1.1869158878504673
100,0.05,198.0,285.0,1.4393939393939394
100,0.1,262.0,626.0,2.3893129770992365
100,0.2,521.0,574.0,1.1017274472168905
100,0.3,463.0,660.0,1.42548596112311
100,0.5,524.0,1118.0,2.133587786259542
100,0.6,471.0,1155.0,2.4522292993630574
100,0.7,387.0,1013.0,2.6175710594315245
100,0.8,372.0,1733.0,4.658602150537634
100,0.9,563.0,3186.0,5.658969804618117
300,0.05,1428.0,4719.0,3.3046218487394956
300,0.1,1360.0,6796.0,4.997058823529412
300,0.2,1895.0,8349.0,4.405804749340369
300,0.3,2579.0,11763.0,4.5610701822411785
300,0.5,2687.0,13358.0,4.971343505768515
300,0.6,3581.0,13034.0,3.6397654286512147
300,0.7,3288.0,17346.0,5.275547445255475
300,0.8,3101.0,11938.0,3.8497258948726216
300,0.9,4218.0,14690.0,3.482693219535325
500,0.05,2335.0,12559.0,5.378586723768737
500,0.1,3994.0,15185.0,3.801952929394091
500,0.2,5917.0,26316.0,4.447524083150245
500,0.3,7912.0,35148.0,4.442366026289181
500,0.5,9222.0,49377.0,5.354261548471047
500,0.6,9250.0,39679.0,4.289621621621621
500,0.7,10195.0,46683.0,4.579009318293281
500,0.8,8982.0,50410.0,5.612335782676464
500,0.9,11144.0,40145.0,3.602386934673367
