Grid_Size, Density, Seed, Time_ms
20, 0.05, 42, 233
20, 0.1, 42, 179
20, 0.2, 42, 129
20, 0.3, 42, 166
20, 0.5, 42, 165
20, 0.6, 42, 140
20, 0.7, 42, 124
20, 0.8, 42, 110
20, 0.9, 42, 183
50, 0.05, 42, 162
50, 0.1, 42, 206
50, 0.2, 42, 149
50, 0.3, 42, 138
50, 0.5, 42, 158
50, 0.6, 42, 205
50, 0.7, 42, 174
50, 0.8, 42, 200
50, 0.9, 42, 214
100, 0.05, 42, 198
100, 0.1, 42, 262
100, 0.2, 42, 521
100, 0.3, 42, 463
100, 0.5, 42, 524
100, 0.6, 42, 471
100, 0.7, 42, 387
100, 0.8, 42, 372
100, 0.9, 42, 563
300, 0.05, 42, 1428
300, 0.1, 42, 1360
300, 0.2, 42, 1895
300, 0.3, 42, 2579
300, 0.5, 42, 2687
300, 0.6, 42, 3581
300, 0.7, 42, 3288
300, 0.8, 42, 3101
300, 0.9, 42, 4218
500, 0.05, 42, 2335
500, 0.1, 42, 3994
500, 0.2, 42, 5917
500, 0.3, 42, 7912
500, 0.5, 42, 9222
500, 0.6, 42, 9250
500, 0.7, 42, 10195
500, 0.8, 42, 8982
500, 0.9, 42, 11144
