Grid_Size, Density, Seed, Time_ms
20, 0.05, 42, 15
20, 0.1, 42, 31
20, 0.2, 42, 44
20, 0.3, 42, 50
20, 0.5, 42, 83
20, 0.6, 42, 90
20, 0.7, 42, 77
20, 0.8, 42, 129
20, 0.9, 42, 119
50, 0.05, 42, 164
50, 0.1, 42, 120
50, 0.2, 42, 229
50, 0.3, 42, 264
50, 0.5, 42, 300
50, 0.6, 42, 245
50, 0.7, 42, 443
50, 0.8, 42, 412
50, 0.9, 42, 254
100, 0.05, 42, 285
100, 0.1, 42, 626
100, 0.2, 42, 574
100, 0.3, 42, 660
100, 0.5, 42, 1118
100, 0.6, 42, 1155
100, 0.7, 42, 1013
100, 0.8, 42, 1733
100, 0.9, 42, 3186
300, 0.05, 42, 4719
300, 0.1, 42, 6796
300, 0.2, 42, 8349
300, 0.3, 42, 11763
300, 0.5, 42, 13358
300, 0.6, 42, 13034
300, 0.7, 42, 17346
300, 0.8, 42, 11938
300, 0.9, 42, 14690
500, 0.05, 42, 12559
500, 0.1, 42, 15185
500, 0.2, 42, 26316
500, 0.3, 42, 35148
500, 0.5, 42, 49377
500, 0.6, 42, 39679
500, 0.7, 42, 46683
500, 0.8, 42, 50410
500, 0.9, 42, 40145
