grid_size,density,parallel,serial,speedup,efficiency
10,0.05,2.0,1.3333333333333333,0.6666666666666666,0.16666666666666666
10,0.1,1.0,1.0,1.0,0.25
10,0.2,1.3333333333333333,2.0,1.5,0.375
25,0.05,2.0,5.666666666666667,2.8333333333333335,0.7083333333333334
25,0.1,3.0,8.666666666666666,2.888888888888889,0.7222222222222222
25,0.2,3.3333333333333335,12.666666666666666,3.8,0.95
50,0.05,5.333333333333333,21.0,3.9375,0.984375
50,0.1,7.666666666666667,33.333333333333336,4.3478260869565215,1.0869565217391304
50,0.2,11.666666666666666,50.0,4.285714285714286,1.0714285714285714
100,0.05,17.0,81.33333333333333,4.784313725490196,1.196078431372549
100,0.1,28.0,136.66666666666666,4.8809523809523805,1.2202380952380951
100,0.2,41.666666666666664,223.33333333333334,5.36,1.34
200,0.05,83.33333333333333,320.0,3.8400000000000003,0.9600000000000001
200,0.1,117.33333333333333,536.6666666666666,4.573863636363636,1.143465909090909
200,0.2,190.66666666666666,808.0,4.237762237762238,1.0594405594405596
