Grid_Size, Density, Seed, Serial_Time_ms, Parallel_Time_ms
25, 0.02, 1, 5, 4
25, 0.02, 2, 3, 3
25, 0.02, 3, 3, 2
25, 0.05, 1, 6, 3
25, 0.05, 2, 5, 3
25, 0.05, 3, 5, 2
25, 0.10, 1, 9, 3
25, 0.10, 2, 9, 4
25, 0.10, 3, 8, 3
25, 0.25, 1, 13, 3
25, 0.25, 2, 16, 4
25, 0.25, 3, 12, 4
25, 0.50, 1, 17, 5
25, 0.50, 2, 16, 8
25, 0.50, 3, 20, 4
50, 0.02, 1, 9, 2
50, 0.02, 2, 10, 2
50, 0.02, 3, 9, 2
50, 0.05, 1, 20, 5
50, 0.05, 2, 20, 4
50, 0.05, 3, 20, 5
50, 0.10, 1, 32, 6
50, 0.10, 2, 37, 7
50, 0.10, 3, 33, 9
50, 0.25, 1, 56, 14
50, 0.25, 2, 51, 13
50, 0.25, 3, 51, 12
50, 0.50, 1, 70, 16
50, 0.50, 2, 68, 19
50, 0.50, 3, 68, 13
100, 0.02, 1, 33, 7
100, 0.02, 2, 32, 7
100, 0.02, 3, 33, 7
100, 0.05, 1, 74, 15
100, 0.05, 2, 73, 19
100, 0.05, 3, 75, 15
100, 0.10, 1, 121, 24
100, 0.10, 2, 121, 27
100, 0.10, 3, 121, 24
100, 0.25, 1, 206, 46
100, 0.25, 2, 214, 45
100, 0.25, 3, 208, 45
100, 0.50, 1, 277, 67
100, 0.50, 2, 291, 57
100, 0.50, 3, 282, 61
200, 0.02, 1, 145, 34
200, 0.02, 2, 137, 33
200, 0.02, 3, 136, 27
200, 0.05, 1, 297, 67
200, 0.05, 2, 302, 72
200, 0.05, 3, 293, 69
200, 0.10, 1, 506, 104
200, 0.10, 2, 556, 99
200, 0.10, 3, 493, 119
200, 0.25, 1, 867, 203
200, 0.25, 2, 857, 185
200, 0.25, 3, 868, 185
200, 0.50, 1, 1183, 259
200, 0.50, 2, 1186, 252
200, 0.50, 3, 1184, 256
300, 0.02, 1, 336, 65
300, 0.02, 2, 333, 86
300, 0.02, 3, 328, 78
300, 0.05, 1, 701, 156
300, 0.05, 2, 666, 157
300, 0.05, 3, 688, 145
300, 0.10, 1, 1159, 235
300, 0.10, 2, 1178, 249
300, 0.10, 3, 1171, 232
300, 0.25, 1, 2012, 409
300, 0.25, 2, 1950, 446
300, 0.25, 3, 2216, 436
300, 0.50, 1, 2653, 573
300, 0.50, 2, 2623, 552
300, 0.50, 3, 2632, 564
400, 0.02, 1, 568, 154
400, 0.02, 2, 544, 114
400, 0.02, 3, 599, 136
400, 0.05, 1, 1271, 252
400, 0.05, 2, 1230, 278
400, 0.05, 3, 1215, 256
400, 0.10, 1, 2117, 425
400, 0.10, 2, 2096, 420
400, 0.10, 3, 1993, 438
400, 0.25, 1, 3453, 716
400, 0.25, 2, 3433, 721
400, 0.25, 3, 3420, 753
400, 0.50, 1, 4688, 995
400, 0.50, 2, 4639, 1010
400, 0.50, 3, 4628, 981
500, 0.02, 1, 915, 174
500, 0.02, 2, 848, 171
500, 0.02, 3, 865, 186
500, 0.05, 1, 1884, 408
500, 0.05, 2, 1870, 383
500, 0.05, 3, 1841, 372
500, 0.10, 1, 3158, 680
500, 0.10, 2, 3060, 664
500, 0.10, 3, 3402, 691
500, 0.25, 1, 5589, 1121
500, 0.25, 2, 5522, 1115
500, 0.25, 3, 5556, 1094
500, 0.50, 1, 7517, 1576
500, 0.50, 2, 7461, 1524
500, 0.50, 3, 7399, 1530
600, 0.02, 1, 1321, 240
600, 0.02, 2, 1310, 243
600, 0.02, 3, 1280, 291
600, 0.05, 1, 2738, 539
600, 0.05, 2, 2798, 629
600, 0.05, 3, 2733, 546
600, 0.10, 1, 4630, 960
600, 0.10, 2, 4591, 905
600, 0.10, 3, 4594, 936
600, 0.25, 1, 7930, 1625
600, 0.25, 2, 8048, 1667
600, 0.25, 3, 7738, 1668
600, 0.50, 1, 10798, 2157
600, 0.50, 2, 10624, 2221
600, 0.50, 3, 10736, 2174
700, 0.02, 1, 1750, 344
700, 0.02, 2, 1793, 355
700, 0.02, 3, 1738, 339
700, 0.05, 1, 3756, 723
700, 0.05, 2, 3744, 742
700, 0.05, 3, 3746, 792
700, 0.10, 1, 6337, 1200
700, 0.10, 2, 6459, 1348
700, 0.10, 3, 6263, 1209
700, 0.25, 1, 10906, 2183
700, 0.25, 2, 10861, 2238
700, 0.25, 3, 10843, 2145
700, 0.50, 1, 14691, 3129
700, 0.50, 2, 14686, 3002
700, 0.50, 3, 14832, 3006
800, 0.02, 1, 2412, 476
800, 0.02, 2, 2298, 613
800, 0.02, 3, 2261, 452
800, 0.05, 1, 4995, 1125
800, 0.05, 2, 4990, 992
800, 0.05, 3, 4986, 988
800, 0.10, 1, 9026, 1674
800, 0.10, 2, 8146, 1682
800, 0.10, 3, 8189, 1644
800, 0.25, 1, 14156, 2843
800, 0.25, 2, 14162, 2924
800, 0.25, 3, 13910, 2865
800, 0.50, 1, 19181, 3934
800, 0.50, 2, 18951, 3894
800, 0.50, 3, 20309, 4089
